,SITUATION,EMOTION
3675,"On school, during a fancy fair, there was a stand of amnesty international. There I read (for the first time) a description of the tortures of a woman, what they did to her.",DISGUST
3676,A friend catched me while masturbating. I am not fully sure whether she saw it or not.,SHAME
3677,When I was 4-5 years old my mother gave me some parts of a chocolate bar and ordered me to bring it to my father working outside. On my way I could not resist the temptation and ate it myself.,GUILT
3678,"When I had to undergo the final examination of secondary school, I lived together with a girlfriend. We both were afraid to fail, but it appeard that we both had passed.",JOY
3679,"When I had left my home, my father, under false pretences, got me in his car and drove home where we were all alone. He was seethed with rage because I withrew from his authority. He hit me, kicked me and threatened me.",FEAR
3680,"When my father took away my cherised diaries to burn them (I was also very sad) \Oh, how I hated him\"".""",ANGER
3681,"I felt very sad when I left home because I could not stand it any longer. I do not regret it, but I missed my little sister very much (and she missed me). These feelings wear off over time.",SADNESS
3682,"A friend and a girlfriend went to Rome for 10 days with their class. When they were back home I heard people tell \strange\"" ástories about my friend and that girlfriend.""",DISGUST
3683,"When my mother found a leaf of my diary where I had written about my mother's lack of education, especially her poor arithmetical insight.",SHAME
3684,"Very often I take care for my little sister and oversee her duties. Most of the time everything went fine, but sometimes she absolutely didn't want to obey; then I hit her (we frequently were hit by our father).",GUILT
3685,Passing my driver's examination (after two failures).,JOY
3686,When I was six years old we were on holiday in France. There was very heavy weather then.,FEAR
3687,"A quarrel with my mother because I thought she said very unreasonable things about me, that hit me strongly.",ANGER
3688,The disease and subsequent death of a close acquaintance. Sadness was accompanied with feelings of powerlessness (I also experienced sadness in the situation described under guilt).,SADNESS
3689,When I take a look into a slaughter-house and when listening to stories about torturing people or animals.,DISGUST
3690,"Making bloopers: e.g. telling something negative about a certain person, while that person is standing besides you and hears everything.",SHAME
3691,"I wanted to finish a relationship after 3 months. Unfortunately my friend had a different opinion. I could not answer his feelings this made him unhappy, and me feel guilty.",GUILT
3692,"When a friend of mine had her period, while thinking she was pregnant.",JOY
3693,Fear to come and live in Nijmegen.,FEAR
3694,When the coach of our team degraded me to the second team.,ANGER
3695,When a friend died.,SADNESS
3696,When I saw a documentary film about World War II (about Hitler and his adepts).,DISGUST
3697,"When I embarrassed a friend by asking him aloud if a certain person was \the source of gossip\"" he told me about, while that áperson was also present.""",SHAME
3698,"When I realised that I had rejected a boy, who was fallen in love with me, rather bluntly four times.",GUILT
3699,"Spending the nitht with close friends, after being away (out of Nijmegen) for a while.",JOY
3700,"Just before I started my study I had to move, I was very afraid to be left alone and that I could not manage it.",FEAR
3701,"When anybody wants to make me feel guilty. For example: I should do something for my mother, but things didn't go as she hoped. Then she threatens: I'll do it myself.",ANGER
3702,"When a close friend took leave of me, because she went to Israel for one year.",SADNESS
3703,I wanted to take something from under my bed. While doing this I felt a dead bird laying under my bed.,DISGUST
3704,"I stayed at home for a period because I felt depressive and I neglected my study when people adked me, I told them that I had freeterm and studied hard. I felt ashamed for my behavior and lies.",SHAME
3705,"After a quarrel with my mother in which matters were \inflated\"" áenormously.""",GUILT
3706,"A fellow player, quite unexpectedly, scores a goal, which means a draw.",JOY
3707,"In college, I started a discussion with the teacher referring to a question I posed. I felt very unsure and I was afraid to fail.",FEAR
3708,"While playing indoor-hockey, there always is an older man who frequently and intentionally plays the ball out of the field. In my opinion this is very childish, because we play for fun only.",ANGER
3709,"I was together with my family one night, a few days after my father had died, during that conversation I expressed my displeasure because nobody understands me.",SADNESS
3710,"Salo, a movie film by Pasolini. People were misused and tortured for the fun of a few elder Italian authorities, during World War II.",DISGUST
3711,"I was jerking me off in my bedroom, when suddenly, my mother came in. She looked at me and immediately left the room.",SHAME
3712,My girlfriend and I agreed to go to the cinema. However I completely forgot our appointment. I remembered it two hours too late when I went to visit her.,GUILT
3713,When my boyfriend once again told me that he loved me after a period in which he felt very depressive.,JOY
3714,"I was walking alone in the street late at night (2.30 am). It was very quiet. Then a man approached me and said \Hello\"".""",FEAR
3715,"When, late at night, I discovered that they had stolen my bike.",ANGER
3716,"When a friend, after being free of drugs for half a year, started using them again.",SADNESS
3717,"In a disco, there was a dirty little chap who punched my bottom.",DISGUST
3718,When a friend who comes visiting me unexpectedly asks for coffee and I refuse to give him this.,ANGER
3719,Watching a football game. This remindes me of the time when my father was still alive and when we watched football games on TV together.,SADNESS
